1801,13800
1802,14000
1803,13400
1804,13300
1805,13700
1806,13400
1807,14200
1808,14300
1809,14200
1810,15000
1811,14000
1812,13800
1813,14300
1814,13600
1815,13900
1816,14000
1817,10500
1818,12000
1819,14800
1820,15000
1821,14400
1822,14400
1823,14300
1824,14200
1825,13800
1826,14600
1827,14900
1828,14600
1829,14600
1830,15100
1831,14900
1832,15300
1833,15000
1834,16100
1835,17100
1836,17000
1837,16400
1838,16400
1839,16400
1840,16200
1841,17200
1842,16600
1843,16800
1844,16000
1845,15800
1846,15200
1847,12700
1848,14800
1849,16300
1850,17000
1851,16200
1852,15400
1853,15600
1854,14700
1855,14000
1856,16300
1857,17600
1858,18900
1859,19400
1860,19700
1861,18700
1862,19300
1863,20000
1864,19900
1865,20100
1866,18800
1867,18033
1868,17672
1869,19128
1870,18641
1871,19514
1872,21212
1873,20649
1874,22655
1875,24629
1876,22376
1877,21871
1878,20590
1879,19450
1880,19413
1881,19425
1882,19414
1883,19696
1884,19898
1885,20105
1886,20080
1887,20646
1888,20706
1889,20691
1890,20836
1891,21264
1892,21884
1893,21884
1894,22188
1895,22682
1896,23784
1897,24954
1898,25114
1899,25412
1900,25537
1901,25378
1902,25078
1903,25283
1904,25502
1905,26272
1906,27298
1907,27660
1908,27634
1909,27470
1910,27346
1911,27809
1912,27843
1913,26841
1914,22245
1915,19527
1916,22251
1917,23254
1918,26117
1919,30751
1920,34975
1921,32624
1922,30063
1923,29561
1924,28510
1925,28110
1926,28079
1927,28585
1928,30050
1929,31238
1930,32132
1931,32269
1932,31959
1933,31969
1934,32492
1935,30495
1936,29633
1937,30394
1938,31031
1939,31513
1940,32472
1941,36130
1942,36820
1943,35694
1944,34765
1945,35640
1946,38768
1947,39401
1948,39274
1949,36993
1950,37108
1951,37719
1952,37471
1953,37392
1954,38247
1955,39713
1956,40488
1957,41669
1958,39975
1959,40164
1960,41574
1961,42257
1962,44342
1963,43946
1964,44172
1965,45082
1966,44266
1967,45269
1968,45711
1969,46886
1970,46693
1971,44881
1972,43081
1973,40768
1974,38499
1975,35189
1976,32058
1977,33032
1978,32120
1979,33987
1980,35721
1981,35766
1982,37003
1983,37645
1984,38614
1985,38776
1986,40234
1987,43063
1988,45717
1989,45066
1990,46603
1991,47567
1992,45080
1993,43257
1994,42411
1995,40820
1996,40649
1997,39102
1998,38683
1999,40646
2000,39758
2001,39244
2002,40213
2003,40056
2004,39460
2005,40139
2006,39817
2007,40330
2008,41534
2009,41918
2010,43257
2011,42083
2012,42654
2013,39794
2014,41891
2015,41437
2016,41646
